GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.services.part.factory,PartFactory,143,3,12,0,33,1,9,1,3,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.config.configurations,ModelMapperConfig,0,7,0,0,0,2,0,2,0,2
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,LanguageProgrammerController,46,3,0,0,10,1,5,1,5,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,TelephoneController,46,3,0,0,10,1,5,1,5,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,SoftSkillsController,62,3,0,0,14,1,7,1,7,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,OfficeController,46,3,0,0,10,1,5,1,5,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,ActivitiesController,8,3,0,0,2,1,1,1,1,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,LanguageController,44,3,0,0,10,1,5,1,5,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,BranchActivityController,46,3,0,0,10,1,5,1,5,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,GraduationController,62,3,0,0,14,1,7,1,7,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,MaterialController,44,3,0,0,10,1,5,1,5,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,EmailController,46,3,0,0,10,1,5,1,5,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,SubjectController,44,3,0,0,10,1,5,1,5,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,CourseController,62,3,0,0,14,1,7,1,7,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,AssignmentsController,36,3,0,0,8,1,4,1,4,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,PartController,44,3,0,0,10,1,5,1,5,1
personal.professional.apresentation,br.com.marcus.dev.personal.professional.apresentation.controller,CertificateController,62,3,0,0,14,1,7,1,7,1
